Time(s),Sensor1,Sensor2,Sensor3,Sensor4,Gyroscope,Magnetic_compass,Gyro integrated heading
171.5,1.24,1.14,1.22,1.22,-0.0164,-0.01678754455,-0.61438506484133
172,1.2,1.14,1.32,1.24,-0.002,0.5833297502,-0.0799633485274225
172.5,1.18,1.22,1.22,1.22,-0.012,1.571324552,0.406489736769014
173,1.2,1.12,1.38,1.28,-0.0004,0.06357684109,0.614732528915171
173.5,1.3,1.22,1.26,1.22,-0.003,3.381912105,1.62890065947193
174,1.14,1.16,1.18,1.4,-0.0144,0.4132328673,1.35367902222463
174.5,1.18,1.26,1.32,1.26,-0.0154,0.1549477323,1.02244615774212
175,1.2,1.28,1.24,1.38,-0.0224,-0.8535013154,0.318181524985296
175.5,1.22,1.26,1.24,1.28,-0.0018,0.1613764304,0.474346487176151
176,1.18,1.26,1.28,1.38,-0.0054,0.3839799425,0.562103812652546
